num,subcategories,sid
1,3D Modeling and CAD Services,1
2,Advert Design,1
3,Animation,1
4,Binding,1
5,Brand Design,1
6,Brochure Design,1
7,Business Card Design,1
8,E Commerce,1
9,Email Template Design,1
10,Engineering and Technical Design,1
11,Engineering Design,1
12,Flyer & Leaflet Design,1
13,General Software development,1
14,Graphic Design,1
15,Illustrators,1
16,Logo Design,1
17,Mobile Software Development,1
18,Office Stationery,1
19,Packaging Design,1
20,Presentation Design,1
21,Print Design,1
22,Technical Design,1
23,UX & UI Design,1
24,Web Design,1
25,Web Development,1
26,Above Ground Swimming Pool Installation,2
27,Hot Tub and Spa Cleaning,2
28,"Hot Tub and Spa Installation, Maintenance & Cleaning",2
29,Hot Tub and Spa Repair,2
30,Swimming Pool Installation,2
31,Swimming Pool Repair,2
32,Academic Entrance Exams Tutoring,3
33,Astronomy Tutoring,3
34,Biology Tutoring,3
35,Calculus Tutoring,3
36,Chemistry Tutoring,3
37,Economics Tutoring,3
38,Electrical Engineering Tutoring,3
39,Engineering Tutoring,3
40,Environmental Science Tutoring,3
41,Geography Tutoring,3
42,GRE Tutoring,3
43,High Valyrian Tutoring,3
44,History Tutoring,3
45,Jobs Entrance Exam Tutoring,3
46,Language Tutoring,3
47,Maths Tutoring,3
48,MCAT Tutoring,3
49,Mechanical Engineering Tutoring,3
50,Philosophy Tutoring,3
51,Physics Tutoring,3
52,Poetry Lessons,3
53,Precalculus Tutoring,3
54,Psychology Tutoring,3
55,Reading and Writing Tutoring,3
56,SAT Tutoring,3
57,Science Tutoring,3
58,Social Science Tutoring,3
59,Statistics Tutoring,3
60,Test of English as a Foreign Language TOEFL,3
61,Trigonometry Tutoring,3
62,Tutoring,3
63,Veterinary Science Tutoring,3
64,Acapella Group Entertainment,4
65,Bagpipers,4
66,Band Entertainment,4
67,Big Band and Swing Band Entertainment,4
68,Blues Band Entertainment,4
69,Brass Band Entertainment,4
70,Christian Music Band Entertainment,4
71,Composers,4
72,Country Band Entertainment,4
73,DJ,4
74,Hip Hop Performers,4
75,Jazz Band Entertainment,4
76,Karaoke,4
77,Latin Band Entertainment,4
78,Mariachi Band Entertainment,4
79,Music Duo Entertainment,4
80,Party Music Consultants,4
81,Pop Band Entertainment,4
82,Quintet Entertainment,4
83,R and B Entertainment,4
84,Reggae Band Entertainment,4
85,Rock Band Entertainment,4
86,Solo Musician Entertainment,4
87,String Quartet Entertainment,4
88,Wedding Music Bands,4
89,Access Control & Door Entry,5
90,Automated Gates & Bollards,5
91,Burglar, Security & Intruder Alarm Installation,5
92,CCTV Installation,5
93,External Shutter Installation,5
94,Fire Alarm System Installation,5
95,Fire Safety Management,5
96,Fire Sprinkler System Installation,5
97,Home & Safety Compliance Solutions,5
98,Locksmith,5
99,Security Fence Installation,5
100,Security Gate & Barrier Installation,5
101,Security Shutter Installation,5
102,Security Shutter Maintenance,5
103,Accordion Lessons,6
104,Acting Classes,6
105,Bagpipe Lessons,6
106,Ballroom Dance Classes,6
107,Banjo Lessons,6
108,Bass Guitar Lessons,6
109,Bassoon Lessons,6
110,Belly Dance Lessons,6
111,Cello Lessons,6
112,Circus Arts Lessons,6
113,Clarinet Lessons,6
114,Comedy Lessons,6
115,Dance Choreography Lessons,6
116,Dance Lessons,6
117,Double Bass Lessons,6
118,Drum Lessons,6
119,Fiddle Lessons,6
120,Flute Lessons,6
121,French Horn Lessons,6
122,Guitar Lessons,6
123,Harmonica Lessons,6
124,Harp Lessons,6
125,Hip Hop Dance Classes,6
126,Keyboard Lessons,6
127,Mandolin Lessons,6
128,Music Composition Lessons,6
129,Music Theory Lessons,6
130,Oboe Lessons,6
131,Piano Lessons,6
